clave,sitio,clvrha,rha,estado,municipio,cuenca,cuerpoagua,tipo,subtipo,periodo,dbo,c_dbo,dqo,c_dqo,sst,c_sst,coli_fec,c_coli_fec,e_coli,c_e_coli,od,c_od,tox_d_48,c_tox_d_48,tox_v_15,c_tox_v_15,semaforo,contaminantes,cumple_dbo,cumple_dqo,cumple_sst,cumple_coli_fec,cumple_e_coli,cumple_enteroc,cumple_od,cumple_tox,grupo
"DLAGU33","RIO SAN PEDRO LAGUNA EL SABINAL","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","PRESA AJOJUCAR","RIO SAN PEDRO","LÓTICO","RÍO","2012-2023","18","Aceptable","78.682999999999993","Contaminada","<25","Excelente","24196","Fuertemente contaminada","24196","Fuertemente contaminada","69.3","Buena calidad","<1","No Toxico","<1","No Toxico","Rojo","DQO,CF,E_COLI,","","","","","","","","","LOTICO"
"DLAGU35","RIO SAN PEDRO PUENTE SAN PEDRO CIENEGUILLA","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","PRESA AJOJUCAR","RIO SAN PEDRO","LÓTICO","RÍO","2012-2023","11.06","Aceptable","63.44","Contaminada","94","Aceptable","24196","Fuertemente contaminada","1793","Fuertemente contaminada","67.5","Buena calidad","<1","No Toxico","<1","No Toxico","Rojo","DQO,CF,E_COLI,","","","","","","","","","LOTICO"
"DLAGU37M1","RIO SAN PEDRO SUR DEL PARQUE RECREATIVO EL SABINAL","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","PRESA AJOJUCAR","RIO SAN PEDRO","LÓTICO","RÍO","2012-2023","15","Aceptable","66.63","Contaminada","<25","Excelente","24196","Fuertemente contaminada","24196","Fuertemente contaminada","42.95","Aceptable","<1","No Toxico","<1","No Toxico","Rojo","DQO,CF,E_COLI,","","","","","","","","","LOTICO"
"DLAGU38M1","RIO SAN PEDRO EXHACIENDA AGOSTADERITO","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","PRESA AJOJUCAR","RIO SAN PEDRO","LÓTICO","RÍO","2012-2023","17.28","Aceptable","68.302999999999997","Contaminada","<25","Excelente","24196","Fuertemente contaminada","1250","Fuertemente contaminada","72.3","Excelente","<1","No Toxico","<1","No Toxico","Rojo","DQO,CF,E_COLI,","","","","","","","","","LOTICO"
"DLAGU41","DESCARGA CALVILLO","VIII","LERMA-SANTIAGO-PACÍFICO","AGUASCALIENTES","CALVILLO","RÍO JUCHIPILA 1","RIO CALVILLO (DESCARGA)","LÓTICO","DESCARGA","2012-2023","<3","Excelente","27.993600000000001","Aceptable","<25","Excelente","1690.5","Contaminada","499","Contaminada","94.4","Excelente","32.89","Toxicidad alta","6.63","Toxicidad alta","Rojo","CF,TOX_L,","","","","","","","","","LOTICO"
"DLBAJ109","MANANTIAL SAN REGIS","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LA PAZ","TODOS SANTOS","TODOS SANTOS","LÓTICO","ARROYO","2012-2023","<3","Excelente","<10","Excelente","<25","Excelente","3873","Contaminada","160","Contaminada","77","Excelente","<1","No Toxico","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLBAJ112","AGUA CALIENTE II","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LOS CABOS","SANTIAGO","SANTIAGO","LÓTICO","ARROYO","2012-2023","<3","Excelente","<10","Excelente","<25","Excelente","455","Aceptable","<3","Aceptable","87.5","Excelente","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLBAJ115","ROCA FOSFORICA MEXICANA, S.A. DE C.V. (PARTE MEDIA)","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LA PAZ","ALFREDO B. BONFIL","GOLFO DE CALIFORNIA","LÓTICO","DESCARGA","2012-2023","4.29","Buena calidad","222.48","Fuertemente contaminada","25.5","Buena calidad","1281","Contaminada","130","Contaminada","132.5","Contaminada","1.65","Toxicidad moderada","<1","No Toxico","Rojo","DQO,CF,OD%L,","","","","","","","","","LOTICO"
"DLBAJ116","ROCA FOSFORICA MEXICANA, S.A. DE C.V.","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LA PAZ","ALFREDO B. BONFIL","GOLFO DE CALIFORNIA","LÓTICO","DESCARGA","2012-2023","3.9000000000000004","Buena calidad","180.86","Contaminada","43.25","Buena calidad","1563.5","Contaminada","624","Contaminada","124.11499999999999","Aceptable","7.45","Toxicidad alta","<1","No Toxico","Rojo","DQO,CF,TOX_L,","","","","","","","","","LOTICO"
"DLBAJ120","BOCA DE LA SIERRA","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LOS CABOS","SAN JOSÉ DEL CABO","SAN JOSE DEL CABO","LÓTICO","RÍO","2012-2023","<3","Excelente","<10","Excelente","<25","Excelente","459","Aceptable","10","Aceptable","93.425000000000011","Excelente","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLBAJ120M1","BOCA DE LA SIERRA","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LOS CABOS","SAN JOSÉ DEL CABO","SAN JOSE DEL CABO","LÓTICO (HUMEDAL)","ARROYO","2012-2023","<3","Excelente","<10","Excelente","<25","Excelente","166.5","Buena calidad","<3","Buena calidad","97.7","Excelente","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLBAJ121","HUMEDAL OASIS DE LA SIERRA EL PILAR 1","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LA PAZ","LAS POCITAS-SAN HILARIO","HUMEDAL OASIS DE LA SIERRA EL PILAR 1","LÓTICO (HUMEDAL)","ARROYO","2012-2023","<3","Excelente","<10","Excelente","<25","Excelente","4106","Contaminada","20","Contaminada","49.8","Aceptable","<1","No Toxico","1.41","Toxicidad moderada","Amarillo","CF,","","","","","","","","","LOTICO"
"DLBAJ123","OASIS DE LA SIERRA EL PILAR 2","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LA PAZ","LAS POCITAS-SAN HILARIO","CUERPO DE AGUA DEL HUMEDAL","LÓTICO (HUMEDAL)","ARROYO","2012-2023","<3","Excelente","<10","Excelente","<25","Excelente","85","Excelente","<3","Excelente","83.7","Excelente","<1","No Toxico","1.89","Toxicidad moderada","Verde","","","","","","","","","","LOTICO"
"DLBAJ124","MANANTIAL CADUAÑO","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LOS CABOS","SAN JOSÉ DEL CABO","SAN JOSE DEL CABO","LÓTICO (HUMEDAL)","CANAL","2012-2023","<3","Excelente","<10","Excelente","<25","Excelente","5546","Contaminada","109.5","Contaminada","75.7","Excelente","1.1223344556677901","Toxicidad baja","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLBAJ126","MANANTIAL SAN BARTOLO","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LA PAZ","SAN BARTOLO","SAN BARTOLO","LÓTICO","ARROYO","2012-2023","<3","Excelente","<10","Excelente","<25","Excelente","1948","Contaminada","41","Contaminada","91.4","Excelente","<1","No Toxico","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLBAJ132","HUMEDAL LOS COMONDU 1","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","COMONDÚ","SANTO DOMINGO","HUMEDAL LOS COMONDU 1","LÓTICO (HUMEDAL)","ARROYO","2012-2023","<3","Excelente","<10","Excelente","<25","Excelente","2046","Contaminada","122","Contaminada","90.9","Excelente","4.024","Toxicidad moderada","1.7007000000000001","Toxicidad moderada","Amarillo","CF,","","","","","","","","","LOTICO"
"DLBAJ135","HUMEDAL LOS COMONDU 2","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","COMONDÚ","SANTO DOMINGO","HUMEDAL LOS COMONDU 2","LÓTICO (HUMEDAL)","ARROYO","2012-2023","<3","Excelente","14.48","Buena calidad","<25","Excelente","2143","Contaminada","156","Contaminada","90.2","Excelente","<1","No Toxico","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLBAJ155","RIO MULEGE 2","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","MULEGÉ","MULEGÉ","RIO MULEGE","LÓTICO","ARROYO","2012-2023","<3","Excelente","<10","Excelente","<25","Excelente","2211.5","Contaminada","15","Contaminada","99.1","Excelente","1.4253135689851799","Toxicidad moderada","1.62","Toxicidad moderada","Amarillo","CF,","","","","","","","","","LOTICO"
"DLBAJ156","RIO MULEGE 1","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","MULEGÉ","MULEGÉ","RIO MULEGE","LÓTICO","ARROYO","2012-2023","<3","Excelente","20.6","Aceptable","<25","Excelente","2832","Contaminada","10","Contaminada","89.3","Excelente","2.827","Toxicidad moderada","1.29","Toxicidad baja","Amarillo","CF,","","","","","","","","","LOTICO"
"DLBAJ190","HUMEDAL LA SIERRA DE GUADALUPE (VERTIENTE OCCIDENTAL) 1","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","COMONDÚ","SAN IGNACIO","HUMEDAL LA SIERRA DE GUADALUPE (VERTIENTE OCCIDENTAL) 1","LÓTICO (HUMEDAL)","ARROYO","2012-2023","<3","Excelente","24.049999999999997","Aceptable","<25","Excelente","2320.5","Contaminada","<3","Contaminada","114.19999999999999","Buena calidad","<1","No Toxico","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLBAJ191","LA RIBERA","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LOS CABOS","SANTIAGO","ARROYO LAS CUEVAS","LÓTICO","ARROYO","2012-2023","<3","Excelente","12.15","Buena calidad","<25","Excelente","744.5","Aceptable","<3","Aceptable","107.7","Excelente","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLBAJ191M1","DESEMBOCADURA ARROYO LAS CUEVAS","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LOS CABOS","SANTIAGO","ARROYO LAS CUEVAS","LÓTICO","ARROYO","2012-2023","<3","Excelente","19.23","Buena calidad","<25","Excelente","749","Aceptable","<3","Aceptable","116.2","Buena calidad","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLBAJ192","RIO SAN IGNACIO - REPRESO","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","MULEGÉ","SAN IGNACIO","RIO SAN IGNACIO","LÓTICO","ARROYO","2012-2023","<3","Excelente","23.634999999999998","Aceptable","<25","Excelente","1661","Contaminada","10","Contaminada","105.44999999999999","Excelente","<1","No Toxico","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLBAJ193","RIO LA PURISIMA 1","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","COMONDÚ","MEZQUITAL SECO","RIO LA PURISIMA","LÓTICO (HUMEDAL)","ARROYO","2012-2023","<3","Excelente","15.34","Buena calidad","<25","Excelente","875.5","Aceptable","10","Aceptable","104.75","Excelente","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLBAJ194","RIO LA PURISIMA 2","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","COMONDÚ","MEZQUITAL SECO","RIO LA PURISIMA","LÓTICO (HUMEDAL)","ARROYO","2012-2023","<3","Excelente","21.244999999999997","Aceptable","<25","Excelente","1791","Contaminada","<3","Contaminada","132.5","Contaminada","2.7173913043478302","Toxicidad moderada","<1","No Toxico","Amarillo","CF,OD%L,","","","","","","","","","LOTICO"
"DLBAJ204","MANANTIAL SAN PEDRITO","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LA PAZ","PESCADEROS","PESCADERO","LÓTICO","ARROYO","2012-2023","<3","Excelente","31.549999999999997","Aceptable","<25","Excelente","2232","Contaminada","25","Contaminada","57.22","Buena calidad","<1","No Toxico","1.901","Toxicidad moderada","Amarillo","CF,","","","","","","","","","LOTICO"
"DLBAJ85","MANANTIAL SAN JOSE DEL CABO","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LOS CABOS","SAN JOSÉ DEL CABO","SAN JOSE DEL CABO","LÓTICO (HUMEDAL)","ARROYO","2012-2023","<3","Excelente","<10","Excelente","<25","Excelente","13084.5","Fuertemente contaminada","362.5","Fuertemente contaminada","75.5","Excelente","<1","No Toxico","8.734","Toxicidad alta","Rojo","CF,TOX_L,","","","","","","","","","LOTICO"
"DLBAJ94","SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 3","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LOS CABOS","SAN JOSÉ DEL CABO","HUMEDAL SISTEMA RIPARÍO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 3","LÓTICO (HUMEDAL)","ARROYO","2012-2023","<3","Excelente","23.23","Aceptable","<25","Excelente","13566.5","Fuertemente contaminada","364","Fuertemente contaminada","69.650000000000006","Buena calidad","<1","No Toxico","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLBAJ95","SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 2","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LOS CABOS","SAN JOSÉ DEL CABO","HUMEDAL SISTEMA RIPARÍO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 2","LÓTICO (HUMEDAL)","ARROYO","2012-2023","4.04","Buena calidad","13.74","Buena calidad","<25","Excelente","9804","Contaminada","74","Contaminada","75.55","Excelente","<1","No Toxico","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLBAJ97","SISTEMA RIPARIO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 1","I","PENÍNSULA DE BAJA CALIFORNIA","BAJA CALIFORNIA SUR","LOS CABOS","SAN JOSÉ DEL CABO","HUMEDAL SISTEMA RIPARÍO DE LA CUENCA Y ESTERO DE SAN JOSE DEL CABO 1","LÓTICO (HUMEDAL)","ARROYO","2012-2023","4.3","Buena calidad","25.47","Aceptable","<25","Excelente","11199","Fuertemente contaminada","31","Fuertemente contaminada","109.3","Excelente","4.6760000000000002","Toxicidad moderada","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLCAM234","PUENTE EL ZAPOTE","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CHAMPOTÓN","RÍO CHAMPOTON 2","RIO CHAMPOTON","LÓTICO","RÍO","2012-2023","3.01","Buena calidad","19.84","Buena calidad","<25","Excelente","150","Buena calidad","93","Buena calidad","58.2","Buena calidad","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLCAM235","CANASAYAB","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CHAMPOTÓN","RÍO CHAMPOTON 1","RIO CHAMPOTON","LÓTICO","RÍO","2012-2023","<3","Excelente","20.16","Aceptable","<25","Excelente","210","Aceptable","150","Aceptable","54.95","Buena calidad","1.06","Toxicidad baja","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLCAM236","SAN JUAN CARPIZO","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CHAMPOTÓN","RÍO CHAMPOTON 1","RIO CHAMPOTON","LÓTICO (HUMEDAL)","RÍO","2012-2023","3.33","Buena calidad","29.155000000000001","Aceptable","<25","Excelente","175","Buena calidad","175","Buena calidad","52.2","Buena calidad","2.2949999999999999","Toxicidad moderada","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLCAM255","RIO PALIZADA AGUAS ABAJO DEL POBLADO","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","PALIZADA","PALIZADA","RIO PALIZADA","LÓTICO (HUMEDAL)","RÍO","2012-2023","<3","Excelente","12.9","Buena calidad","52","Buena calidad","280","Aceptable","280","Aceptable","65.55","Buena calidad","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLCAM257","PUENTE SAN FRANCISCO","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","PALIZADA","PALIZADA","RIO PALIZADA","LÓTICO (HUMEDAL)","RÍO","2012-2023","<3","Excelente","12.92","Buena calidad","35","Buena calidad","230","Aceptable","230","Aceptable","66.25","Buena calidad","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLCAM258","MANANTIAL AGUAS VERDES","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CANDELARIA","ALTO RÍO CANDELARIA","RIO CANDELARIA","LÓTICO (HUMEDAL)","ARROYO","2012-2023","<3","Excelente","13.1","Buena calidad","<25","Excelente","90","Excelente","80","Excelente","38.299999999999997","Aceptable","<1","No Toxico","4.87805","Toxicidad moderada","Verde","","","","","","","","","","LOTICO"
"DLCAM260","PUENTE NUEVO COAHUILA","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CANDELARIA","ALTO RÍO CANDELARIA","RIO CANDELARIA","LÓTICO (HUMEDAL)","RÍO","2012-2023","<3","Excelente","24","Aceptable","<25","Excelente","90","Excelente","70","Excelente","48","Aceptable","2.6989999999999998","Toxicidad moderada","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLCAM263","EL PEDREGAL","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CANDELARIA","ALTO RÍO CANDELARIA","RIO CARIBE","LÓTICO (HUMEDAL)","RÍO","2012-2023","<3","Excelente","31.09","Aceptable","<25","Excelente","210","Aceptable","93","Aceptable","61.6","Buena calidad","<1","No Toxico","1.20918984280532","Toxicidad baja","Verde","","","","","","","","","","LOTICO"
"DLCAM265","PUENTE PABLO TORRES BURGOS","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CANDELARIA","ALTO RÍO CANDELARIA","RIO CARIBE","LÓTICO (HUMEDAL)","RÍO","2012-2023","3.33","Buena calidad","30.5","Aceptable","<25","Excelente","70","Excelente","40","Excelente","57.9","Buena calidad","2.9369999999999998","Toxicidad moderada","1.8","Toxicidad moderada","Verde","","","","","","","","","","LOTICO"
"DLCAM268","RIO MAMANTEL PUENTE","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CARMEN","MAMATEL","RIO MAMANTEL","LÓTICO","RÍO","2012-2023","3.33","Buena calidad","23.12","Aceptable","<25","Excelente","90","Excelente","70","Excelente","57.1","Buena calidad","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLCAM269","FINCA-PITAL AGUAS ABAJO RIO MAMANTEL","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CARMEN","MAMATEL","RIO MAMANTEL","LÓTICO","RÍO","2012-2023","3.42","Buena calidad","24.96","Aceptable","<25","Excelente","230","Aceptable","150","Aceptable","60.980000000000004","Buena calidad","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLCAM278","SANTA RITA CAMPECHE","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CARMEN","CUMPAN","RIO CHUMPAN","LÓTICO (HUMEDAL)","RÍO","2012-2023","6.06","Aceptable","47.92","Contaminada","<25","Excelente","40","Excelente","40","Excelente","68.8","Buena calidad","<1","No Toxico","<1","No Toxico","Rojo","DQO,","","","","","","","","","LOTICO"
"DLCAM279","PUENTE CARRETERA CAM-VILLAHERMOSA","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CARMEN","CUMPAN","RIO CHUMPAN","LÓTICO","RÍO","2012-2023","5.93","Buena calidad","42.204999999999998","Contaminada","<25","Excelente","40","Excelente","40","Excelente","54.715000000000003","Buena calidad","<1","No Toxico","1.85","Toxicidad moderada","Rojo","DQO,","","","","","","","","","LOTICO"
"DLCAM280","CANDELARIA","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CARMEN","BAJO RÍO CANDELARIA","RIO CANDELARIA","LÓTICO","RÍO","2012-2023","3.645","Buena calidad","20.805","Aceptable","<25","Excelente","24.5","Excelente","9","Excelente","63.63","Buena calidad","1.1000000000000001","Toxicidad baja","1.55","Toxicidad moderada","Verde","","","","","","","","","","LOTICO"
"DLCAM281","IGNACIO ZARAGOZA","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CARMEN","BAJO RÍO CANDELARIA","RIO CANDELARIA","LÓTICO (HUMEDAL)","RÍO","2012-2023","3.4050000000000002","Buena calidad","20.875","Aceptable","<25","Excelente","90","Excelente","70","Excelente","72.550000000000011","Excelente","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLCAM283","CANDELARIA PUENTE AGUAS ABAJO DEL POBLADO","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CANDELARIA","BAJO RÍO CANDELARIA","RIO CANDELARIA","LÓTICO","RÍO","2012-2023","3.0449999999999999","Buena calidad","20.16","Aceptable","<25","Excelente","230","Aceptable","180","Aceptable","60.18","Buena calidad","1.4","Toxicidad moderada","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLCAM284","VENUSTIANO CARRANZA","XII","PENÍNSULA DE YUCATÁN","CAMPECHE","CANDELARIA","ALTO RÍO CANDELARIA","RIO CANDELARIA","LÓTICO (HUMEDAL)","RÍO","2012-2023","<3","Excelente","17.28","Buena calidad","<25","Excelente","80","Excelente","56.5","Excelente","58.7","Buena calidad","1.696","Toxicidad moderada","1.93798449612403","Toxicidad moderada","Verde","","","","","","","","","","LOTICO"
